303
7.86100e+00 1.01000e+09 1.000000000000000e+00 4.735542168675382e+24 
7.90000e+00 1.01000e+10 1.144495943735707e+09 4.759036144579026e+24 
8.15000e+00 1.01000e+11 1.255218258826727e+10 4.909638554215997e+24 
1.16000e+01 1.21000e+12 1.210121568396835e+11 6.987951807099047e+24 
1.64000e+01 1.40000e+13 1.017239557107978e+12 9.879518070490971e+24 
4.51000e+01 1.70000e+14 6.076580950238156e+12 2.716867462904978e+25 
2.12000e+02 5.82000e+15 4.872379176101912e+13 1.277108403508942e+26 
1.15000e+03 1.90000e+17 3.206723139124586e+14 6.927709645088966e+26 
1.04400e+04 9.74400e+18 2.085685366546035e+15 6.289148562641866e+27 
2.62200e+04 4.96800e+19 4.300724294836920e+15 1.579513843817223e+28 
6.58700e+04 2.43100e+20 8.585327522672165e+15 3.968050678246274e+28 
1.65400e+05 1.15100e+21 1.661134928047141e+16 9.963748410273008e+28 
4.15600e+05 5.26600e+21 3.113184626970317e+16 2.503563031417574e+29 
1.04400e+06 2.31800e+22 5.637078777201065e+16 6.288917532113964e+29 
2.62200e+06 9.75500e+22 9.823793789690632e+16 1.579410809417085e+30 
6.58800e+06 3.91100e+23 1.651406201353325e+17 3.968207633945159e+30 
8.29400e+06 5.25900e+23 1.833095151461384e+17 4.995718999340061e+30 
1.65500e+07 1.43500e+24 2.575186944191163e+17 9.967984808190959e+30 
3.30200e+07 3.83300e+24 3.565374302776011e+17 1.988624486098052e+31 
6.59000e+07 1.00600e+25 4.854887478466741e+17 3.968409555788188e+31 
1.31500e+08 2.60400e+25 6.513965382729176e+17 7.917691431491972e+31 
2.62400e+08 6.67600e+25 8.653645303780850e+17 1.579648653097420e+32 
3.30400e+08 8.73800e+25 9.351386853486102e+17 1.988876636804310e+32 
5.23700e+08 1.62900e+26 1.113016138004557e+18 3.152005249254761e+32 
8.30100e+08 3.02900e+26 1.322146204798277e+18 4.995278680912444e+32 
1.04500e+09 4.12900e+26 1.440831627913642e+18 6.287859739528457e+32 
1.31600e+09 5.03600e+26 1.518018435877763e+18 7.917701681634435e+32 
1.65700e+09 6.86000e+26 1.639932704037310e+18 9.968320036185703e+32 
2.62600e+09 1.27200e+27 1.916604935203110e+18 1.579408555055844e+33 
4.16400e+09 2.35600e+27 2.239442933079288e+18 2.503766362597048e+33 
6.60200e+09 4.36200e+27 2.618468886198099e+18 3.968453306579298e+33 
8.31300e+09 5.66200e+27 2.793140494286083e+18 4.996075312734337e+33 
1.04600e+10 7.70200e+27 3.010508666881476e+18 6.285278249529749e+33 
1.31800e+10 1.04800e+28 3.246036540028766e+18 7.918133471790058e+33 
1.65900e+10 1.42500e+28 3.499821034102588e+18 9.964648038150129e+33 
2.09000e+10 1.93800e+28 3.774646143639789e+18 1.255052933246797e+34 
2.63100e+10 2.50300e+28 4.014685515278510e+18 1.579545840074086e+34 
3.31300e+10 3.40400e+28 4.317736986167095e+18 1.988488673119577e+34 
4.17200e+10 4.62800e+28 4.646196763873027e+18 2.503379905160979e+34 
5.25400e+10 5.94900e+28 4.927264832234766e+18 3.151721264606653e+34 
6.61700e+10 8.08900e+28 5.287493012264601e+18 3.968152146533000e+34 
8.33300e+10 1.10000e+29 5.677518779132288e+18 4.995594585539784e+34 
1.04900e+11 1.49500e+29 6.097822509012104e+18 6.286499818765638e+34 
1.32200e+11 2.03300e+29 6.553560451500448e+18 7.919522519421637e+34 
1.66400e+11 2.59700e+29 6.932779322197577e+18 9.964342608073736e+34 
1.84400e+11 2.89200e+29 7.100852603318419e+18 1.104024499435988e+35 
2.09600e+11 3.29000e+29 7.302769473049279e+18 1.254619811486048e+35 
2.64000e+11 4.47300e+29 7.801045252435713e+18 1.579589144924883e+35 
3.32500e+11 5.81600e+29 8.252796433320227e+18 1.988566056819827e+35 
4.18800e+11 7.53800e+29 8.710408011728136e+18 2.503562179979234e+35 
4.29900e+11 7.80500e+29 8.773873886708908e+18 2.569780478374812e+35 
4.46000e+11 7.89000e+29 8.793256212602561e+18 2.665825129011336e+35 
5.22800e+11 8.35200e+29 8.888439187164329e+18 3.123947029887355e+35 
6.61000e+11 9.09800e+29 9.015039051936241e+18 3.948223013805510e+35 
7.96400e+11 9.83100e+29 9.115740779376213e+18 4.755698373820295e+35 
9.72800e+11 1.08300e+30 9.228793801889006e+18 5.807557477426338e+35 
1.19600e+12 1.21800e+30 9.353409997632950e+18 7.138305314502474e+35 
1.47100e+12 1.39900e+30 9.489261278672257e+18 8.777654053135966e+35 
1.80500e+12 1.63800e+30 9.635299447772393e+18 1.076840522013114e+36 
2.20200e+12 1.95000e+30 9.791128931649311e+18 1.313426018976486e+36 
2.93000e+12 2.59200e+30 1.004191155076770e+19 1.747166499532438e+36 
3.83300e+12 3.50600e+30 1.031271657104533e+19 2.285015432725376e+36 
4.93300e+12 4.77100e+30 1.060177753549259e+19 2.939998313409041e+36 
6.24800e+12 6.48100e+30 1.090800412872590e+19 3.722741339310662e+36 
7.80100e+12 8.74800e+30 1.123098455189259e+19 4.646828436746800e+36 
9.61200e+12 1.17000e+31 1.157019240558280e+19 5.724037335905188e+36 
1.24600e+13 1.69500e+31 1.204651487428464e+19 7.417296318241528e+36 
1.49600e+13 2.20900e+31 1.242132689921250e+19 8.902954394114973e+36 
1.77800e+13 2.84800e+31 1.281145829052546e+19 1.057806385969041e+37 
2.21000e+13 3.93100e+31 1.335458945886342e+19 1.314285101480363e+37 
2.98800e+13 6.17800e+31 1.422029365025266e+19 1.775819683473901e+37 
