   29004529787207.680        3.3469956967730992E+031
   70224116740542.430        1.7720332301744236E+032
   88404095399362.562        3.3646198970732067E+032
   170996585075593.19        2.2430800381954729E+033
   364009522879528.94        1.6999342289467120E+034
   568413928254238.88        5.0949959265382858E+034
   780733504016773.38        1.0502421659496670E+035
   960643575072686.12        1.6345644678335868E+035
   1307253927652986.8        3.0146995713347156E+035
   1448015959127388.2        3.6506129223831351E+035
   1775925806027141.2        5.2608239498020281E+035
   2176801369810246.0        7.4162634862851465E+035
   2409301288390492.0        8.7379182887904647E+035
   2665849652353434.0        1.0244626713786902E+036
   3260237324215622.0        1.3888511197155462E+036
